0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:11 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:11 +0700] "GET /DemoDisplaynew/images/tiviSS.jpg HTTP/1.1" 200 10500
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:11 +0700] "GET /DemoDisplaynew/images/camera2.jpg HTTP/1.1" 200 26390
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:11 +0700] "GET /DemoDisplaynew/images/lenovoz5.jpeg HTTP/1.1" 200 10773
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:11 +0700] "GET /DemoDisplaynew/images/camera1.jpg HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:11 +0700] "GET /DemoDisplaynew/images/ipxm.jpg HTTP/1.1" 200 5749
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/products.jsp?ChuyenMuc=CM03 HTTP/1.1" 200 15207
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/manhinh.jpg HTTP/1.1" 200 10637
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/laptop.jpg HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/manhinh1.jpg HTTP/1.1" 200 10921
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/xuli.jpg HTTP/1.1" 200 8497
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/laptop1.jpg HTTP/1.1" 200 5528
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/macbook.jpg HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:13 +0700] "GET /DemoDisplaynew/images/tannhiet.jpg HTTP/1.1" 200 12440
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:19 +0700] "GET /DemoDisplaynew/login.jsp HTTP/1.1" 200 9155
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:19 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:19 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:24 +0700] "GET /DemoDisplaynew/home.jsp HTTP/1.1" 200 21477
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:24 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:24 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:25 +0700] "GET /DemoDisplaynew/HomeForward HTTP/1.1" 200 22282
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:25 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:25 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:31 +0700] "GET /DemoDisplaynew/home.jsp HTTP/1.1" 200 21477
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:31 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:31 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:32 +0700] "GET /DemoDisplaynew/home.jsp HTTP/1.1" 200 21477
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:32 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:32 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:36 +0700] "GET /DemoDisplaynew/HomeForward HTTP/1.1" 200 22282
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:36 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:36 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:57:50 +0700] "GET /DemoDisplaynew/css/bootstrap.css.map HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:59:12 +0700] "GET /DemoDisplaynew/home.jsp HTTP/1.1" 200 21477
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:59:12 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:22:59:12 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/ HTTP/1.1" 200 22282
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/js/move-top.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/js/easing.js HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/banner4.jpg HTTP/1.1" 200 36450
0:0:0:0:0:0:0:1 - - [17/Dec/2022:23:40:05 +0700] "GET /DemoDisplaynew/images/banner5.jpg HTTP/1.1" 200 166202
